"filename", "language", "JSON with Comments", "JSON", "TypeScript", "JavaScript", "Properties", "comment", "blank", "total"
"e:\Ashish\jwtAuth\.env", "Properties", 0, 0, 0, 0, 3, 0, 3, 6
"e:\Ashish\jwtAuth\dist\index.js", "JavaScript", 0, 0, 0, 20, 0, 0, 1, 21
"e:\Ashish\jwtAuth\package-lock.json", "JSON", 0, 3571, 0, 0, 0, 0, 1, 3572
"e:\Ashish\jwtAuth\package.json", "JSON", 0, 34, 0, 0, 0, 0, 2, 36
"e:\Ashish\jwtAuth\src\controllers\getMe.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 2, 14
"e:\Ashish\jwtAuth\src\controllers\userController.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 4, 27
"e:\Ashish\jwtAuth\src\data-source.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 3, 17
"e:\Ashish\jwtAuth\src\entity\taskEntity.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 7, 24
"e:\Ashish\jwtAuth\src\entity\userEntity.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 10, 36
"e:\Ashish\jwtAuth\src\index.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 6, 28
"e:\Ashish\jwtAuth\src\middlewares\authMiddleware.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 8, 36
"e:\Ashish\jwtAuth\src\routes\userRoutes.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 3, 10
"e:\Ashish\jwtAuth\src\services\authService.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 3, 19
"e:\Ashish\jwtAuth\src\services\taskService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1
"e:\Ashish\jwtAuth\src\services\userService.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 3, 21
"e:\Ashish\jwtAuth\src\types\express\index.d.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 3, 11
"e:\Ashish\jwtAuth\src\utils\errorHandler.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 1, 8
"e:\Ashish\jwtAuth\src\utils\hash.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 2, 12
"e:\Ashish\jwtAuth\tsconfig.json", "JSON with Comments", 16, 0, 0, 0, 0, 0, 0, 16
"Total", "-", 16, 3605, 208, 20, 3, 0, 63, 3915